月份,产品,地区,销量,单价,销售额,备注
2026-01,深蓝 Pro,华东,152,2999,455848,"新品上市"
2026-01,深蓝 Pro,华北,98,2999,293902,"含"礼品套装"3 件"
2026-01,深蓝 Lite,华南,210,1999,419790,"促销周"
2026-01,深蓝 Lite,西南,134,1999,267866,""
2026-02,深蓝 Pro,华东,171,2999,512829,"环比 +12.5%"
2026-02,深蓝 Pro,华南,121,2999,362879,""
2026-02,深蓝 Lite,华北,188,1999,375812,"春节档"
2026-02,深蓝 Lite,西南,156,1999,311844,"春节档"
2026-03,深蓝 Pro,华东,163,2999,488837,""
2026-03,深蓝 Pro,华北,110,2999,329890,""
2026-03,深蓝 Lite,华东,245,1999,489755,"新品 Lite+"
2026-03,深蓝 Lite,华南,176,1999,351824,""
2026-04,深蓝 Pro,华东,189,2999,566811,""
2026-04,深蓝 Pro,西南,87,2999,260913,""
2026-04,深蓝 Lite,华北,201,1999,401799,""
2026-04,深蓝 Lite,华南,167,1999,333833,""
2026-05,深蓝 Pro,华东,205,2999,614795,"618 预热"
2026-05,深蓝 Pro,华北,132,2999,395868,""
2026-05,深蓝 Lite,华东,268,1999,535732,"618 预热"
2026-05,深蓝 Lite,西南,143,1999,285857,""
2026-06,深蓝 Pro,华东,312,2999,935688,"618 大促"
2026-06,深蓝 Pro,华南,244,2999,731756,"618 大促"
2026-06,深蓝 Lite,华北,286,1999,571714,"618 大促"
2026-06,深蓝 Lite,华东,341,1999,681659,"618 大促"
